;crop_variety;reference;experiment_type_original;experiment_numbers;yield;year;crop_type;salinitylevel_list;yieldreduction_list;max_yieldreduction
203;C 12333;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 88.0375402717467, 45.1463790446841, nan, nan, nan, nan, nan, nan, nan, nan, nan];
204;C 12338;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 92.7877115084603, 57.6743069722789, nan, nan, nan, nan, nan, nan, nan, nan, nan];
205;C 12339;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 62.0997536945813, 55.2032019704434, nan, nan, nan, nan, nan, nan, nan, nan, nan];
206;C 12353;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 78.2849061455387, 34.7904345590126, nan, nan, nan, nan, nan, nan, nan, nan, nan];
207;C 12370;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 71.9086374376477, 20.3859280651089, nan, nan, nan, nan, nan, nan, nan, nan, nan];
208;C 12373;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 59.4907407407407, 24.8219373219373, nan, nan, nan, nan, nan, nan, nan, nan, nan];
209;Sadaf;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 64.4477739726027, 38.9340753424658, nan, nan, nan, nan, nan, nan, nan, nan, nan];
210;Golden;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 63.882863340564, 26.4487139758289, nan, nan, nan, nan, nan, nan, nan, nan, nan];
211;Sultan;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 82.572410407462, 27.4259531991491, nan, nan, nan, nan, nan, nan, nan, nan, nan];
212;Aghoghi;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 84.984466689679, 47.4111149464964, nan, nan, nan, nan, nan, nan, nan, nan, nan];
213;Agati 72;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 96.9931921331316, 36.4788199697428, nan, nan, nan, nan, nan, nan, nan, nan, nan];
214;Agati 94;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 70.4941445301342, 40.3456155384176, nan, nan, nan, nan, nan, nan, nan, nan, nan];
215;Akber;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 90.1871980676329, 60.9601449275362, nan, nan, nan, nan, nan, nan, nan, nan, nan];
216;EV 6085;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 76.1262021258647, 46.2966087396659, nan, nan, nan, nan, nan, nan, nan, nan, nan];
217;IZ 26;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 71.1872586872587, 41.8275418275418, nan, nan, nan, nan, nan, nan, nan, nan, nan];
218;IZ 40;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 59.3984133979727, 33.5610401057735, nan, nan, nan, nan, nan, nan, nan, nan, nan];
219;IZ 46;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 96.730571722013, 45.8404655939747, nan, nan, nan, nan, nan, nan, nan, nan, nan];
220;IZ 80;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 69.3351242444594, 47.494963062458, nan, nan, nan, nan, nan, nan, nan, nan, nan];
221;IZ 87;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 77.4002370604504, 45.0019755037535, nan, nan, nan, nan, nan, nan, nan, nan, nan];
222;IZ 7103;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 98.7349220358929, 57.8552515445719, nan, nan, nan, nan, nan, nan, nan, nan, nan];
223;SYP 31;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 88.3991833793683, 30.8154197189864, nan, nan, nan, nan, nan, nan, nan, nan, nan];
224;Conquest;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 90.7825322391559, 83.1770222743259, nan, nan, nan, nan, nan, nan, nan, nan, nan];
225;Reward;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 65.4969436268961, 54.1996830427892, nan, nan, nan, nan, nan, nan, nan, nan, nan];
226;Jubilee;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 96.8179889690284, 59.0581247348324, nan, nan, nan, nan, nan, nan, nan, nan, nan];
227;Sundance;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 96.81637293917, 83.4138715179079, nan, nan, nan, nan, nan, nan, nan, nan, nan];
228;Champ;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 85.8712893723091, 42.1935191479719, nan, nan, nan, nan, nan, nan, nan, nan, nan];
229;Bozm 0095;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 70.9858855990661, 23.5487636633768, nan, nan, nan, nan, nan, nan, nan, nan, nan];
230;Bozm 0715;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 63.9905548996458, 21.629279811098, nan, nan, nan, nan, nan, nan, nan, nan, nan];
231;Bozm 0944;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 88.2141529309704, 30.8216631552857, nan, nan, nan, nan, nan, nan, nan, nan, nan];
232;Bozm 0999;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 44.394944053046, 30.1699129714049, nan, nan, nan, nan, nan, nan, nan, nan, nan];
233;Bozm 1014;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 71.000887986807, 23.5062793352784, nan, nan, nan, nan, nan, nan, nan, nan, nan];
234;Bozm 1052;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 71.2692117005454, 28.9167079821517, nan, nan, nan, nan, nan, nan, nan, nan, nan];
235;Bozm 1057;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 66.2016348773842, 24.8174386920981, nan, nan, nan, nan, nan, nan, nan, nan, nan];
236;Bozm 1335;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 68.4977310723668, 30.021495103893, nan, nan, nan, nan, nan, nan, nan, nan, nan];
237;Bozm 1337;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 92.755787901419, 25.5265123226288, nan, nan, nan, nan, nan, nan, nan, nan, nan];
238;Bozm 1345;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 87.0638085742772, 24.9002991026919, nan, nan, nan, nan, nan, nan, nan, nan, nan];
239;Bozm 1376;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 74.1211351122406, 61.7676125935338, nan, nan, nan, nan, nan, nan, nan, nan, nan];
240;Bozm 1416;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 78.5632183908046, 35.448275862069, nan, nan, nan, nan, nan, nan, nan, nan, nan];
241;Bozm 1457;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 103.446172613602, 4.80329368709973, nan, nan, nan, nan, nan, nan, nan, nan, nan];
242;Bozm 1483;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 89.0405764125901, 40.7028188598155, nan, nan, nan, nan, nan, nan, nan, nan, nan];
243;Bozm 1510;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 59.549795361528, 22.6011823556162, nan, nan, nan, nan, nan, nan, nan, nan, nan];
244;Bozm 1532;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 77.3885008060183, 26.31918323482, nan, nan, nan, nan, nan, nan, nan, nan, nan];
245;Bozm 1533;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 88.6515172132263, 37.5017009116887, nan, nan, nan, nan, nan, nan, nan, nan, nan];
246;Bozm 1536;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 52.8097272428524, 39.4238142184248, nan, nan, nan, nan, nan, nan, nan, nan, nan];
247;Chzm 01001;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 84.0631929046563, 33.6613082039911, nan, nan, nan, nan, nan, nan, nan, nan, nan];
248;Chzm 01008;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 90.4799525972743, 54.2958720126407, nan, nan, nan, nan, nan, nan, nan, nan, nan];
249;Chzm 01009;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 79.5483645675707, 35.6535909672914, nan, nan, nan, nan, nan, nan, nan, nan, nan];
250;Chzm 03004;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 60.5322091950995, 29.4691081543934, nan, nan, nan, nan, nan, nan, nan, nan, nan];
251;Chzm 13002;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 47.6393932920316, 23.3283486434523, nan, nan, nan, nan, nan, nan, nan, nan, nan];
252;PI 213714;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 92.4026363091672, 14.1282204913122, nan, nan, nan, nan, nan, nan, nan, nan, nan];
253;PI 451716;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 75.6110244409776, 24.2641705668227, nan, nan, nan, nan, nan, nan, nan, nan, nan];
254;PI 503567;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 92.2175732217573, 48.0095636580992, nan, nan, nan, nan, nan, nan, nan, nan, nan];
255;PI 503568;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 83.9835956550654, 38.3728663267568, nan, nan, nan, nan, nan, nan, nan, nan, nan];
256;PI 508270;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 94.3733425573619, 18.8400784042431, nan, nan, nan, nan, nan, nan, nan, nan, nan];
257;PI 561620;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 69.5329206527856, 24.794597636466, nan, nan, nan, nan, nan, nan, nan, nan, nan];
258;PI 583749;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 72.6609301818974, 18.9195076789021, nan, nan, nan, nan, nan, nan, nan, nan, nan];
259;PI 583750;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 72.9479768786127, 15.606936416185, nan, nan, nan, nan, nan, nan, nan, nan, nan];
260;PI 583751;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 60.9407200872833, 17.5051521396533, nan, nan, nan, nan, nan, nan, nan, nan, nan];
261;PI 583752;Khan et al. (2003);solution culture;3.0;rel. root length;2000;Corn;[5.47875, 7.305, 13.696875, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 81.4969714450534, 18.3299682722815, nan, nan, nan, nan, nan, nan, nan, nan, nan];
262;Zhongnuo No. 1;Kang et al. (2010);field;5.0;yield of fresh fruit (kg/ha);2007;Corn;[1.7, 4.0, 6.3, 8.6, 10.9, nan, nan, nan, nan, nan, nan, nan];[100.0, 99.2634934593822, 99.8351104759811, 96.1965483126305, 96.5593052654721, nan, nan, nan, nan, nan, nan, nan];
263;Zhongnuo No. 1;Kang et al. (2010);field;5.0;yield of fresh fruit (kg/ha);2008;Corn;[1.7, 4.0, 6.3, 8.6, 10.9, nan, nan, nan, nan, nan, nan, nan];[100.0, 98.9715668481549, 94.9384956644485, 90.3004638031861, 87.870538415003, nan, nan, nan, nan, nan, nan, nan];
264;Zhongnuo No. 1;Kang et al. (2010);field;5.0;yield of fresh fruit (kg/ha);2009;Corn;[1.7, 4.0, 6.3, 8.6, 10.9, nan, nan, nan, nan, nan, nan, nan];[100.0, 101.209856774308, 82.4037007383685, 76.158704741571, 74.6908638021528, nan, nan, nan, nan, nan, nan, nan];
265;AG 1051;Lacerda et al. (2011);field;4.0;yield kg/ha;2007;Corn;[0.8, 2.2, 3.6, 5.0, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 100.091701054562, 82.6685006877579, 71.2975699220541, nan, nan, nan, nan, nan, nan, nan, nan];
266;Zhongnuo No. 1;Wan et al. (2012);field;5.0;rel. fresh ear yield;2005-2008;Corn;[11.0, 15.5, 18.5, 22.3, 23.3, nan, nan, nan, nan, nan, nan, nan];[100.0, 75.3424657534247, 56.1643835616438, 39.7260273972603, 17.8082191780822, nan, nan, nan, nan, nan, nan, nan];
267;Apica;Bertrand 2015;20cm pot, growth-room;5.0;shoot biomass (gFW);2013;Alfalfa;[0.0, 1.82625, 3.6525, 7.305, 14.61, nan, nan, nan, nan, nan, nan, nan];[100.0, 89.0909090909091, 58.1818181818182, 41.8181818181818, 27.2727272727273, nan, nan, nan, nan, nan, nan, nan];
268;Halo;Bertrand 2015;20cm pot, growth-room;5.0;shoot biomass (gFW);2013;Alfalfa;[0.0, 1.82625, 3.6525, 7.305, 14.61, nan, nan, nan, nan, nan, nan, nan];[100.0, 79.6296296296296, 62.962962962963, 40.7407407407407, 27.7777777777778, nan, nan, nan, nan, nan, nan, nan];
269;Wild type;Bao 2009;plastic pot;3.0;shoot dry weight (g/plant);2007;Alfalfa;[0.0, 9.13125, 18.2625, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 65.8536585365854, 29.2682926829268, nan, nan, nan, nan, nan, nan, nan, nan, nan];
270;transgenetic plant L1;Bao 2009;plastic pot;3.0;shoot dry weight (g/plant);2007;Alfalfa;[0.0, 9.13125, 18.2625, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 95.0, 75.0, nan, nan, nan, nan, nan, nan, nan, nan, nan];
271;transgenetic plant L8;Bao 2009;plastic pot;3.0;shoot dry weight (g/plant);2007;Alfalfa;[0.0, 9.13125, 18.2625, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 91.4634146341463, 68.2926829268293, nan, nan, nan, nan, nan, nan, nan, nan, nan];
272;Salado;Boyd 2004;greenhouse, temp. Controlled;5.0;dry weight (g/plant);1998;Alfalfa;[1.5, 7.1, 11.8, 16.2, 21.3, nan, nan, nan, nan, nan, nan, nan];[100.0, 94.5504087193461, 73.5694822888283, 60.7629427792916, 54.2234332425068, nan, nan, nan, nan, nan, nan, nan];
273;L52;Boyd 2004;greenhouse, temp. Controlled;5.0;dry weight (g/plant);1998;Alfalfa;[1.5, 7.1, 11.8, 16.2, 21.3, nan, nan, nan, nan, nan, nan, nan];[100.0, 91.6334661354582, 87.2509960159362, 62.1513944223108, 56.9721115537849, nan, nan, nan, nan, nan, nan, nan];
274;Makkah;El-Nakhlawy 2012;field;3.0;Dry forage yield (t/ha/year);2008,2009,2010;Alfalfa;[1.875, 6.25, 12.5, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 90.0928955980154, 65.966430908899, nan, nan, nan, nan, nan, nan, nan, nan, nan];
275;Al-Taef;El-Nakhlawy 2012;field;3.0;Dry forage yield (t/ha/year);2008,2009,2010;Alfalfa;[1.875, 6.25, 12.5, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 90.4453881098163, 69.6128777404701, nan, nan, nan, nan, nan, nan, nan, nan, nan];
276;Sabkhawi;El-Nakhlawy 2012;field;3.0;Dry forage yield (t/ha/year);2008,2009,2010;Alfalfa;[1.875, 6.25, 12.5, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 98.6620182794686, 87.1996607933666, nan, nan, nan, nan, nan, nan, nan, nan, nan];
277;Hasawi;El-Nakhlawy 2012;field;3.0;Dry forage yield (t/ha/year);2008,2009,2010;Alfalfa;[1.875, 6.25, 12.5, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 82.704390394326, 61.4231199167405, nan, nan, nan, nan, nan, nan, nan, nan, nan];
278;Neotachiwakaba;Endo 2014;greenhouse, wagner pots;3.0;dry weight (g/pot) 6 plants per pot;2013;Alfalfa;[1.0, 4.0, 8.0, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 93.1034482758621, 86.2068965517241, nan, nan, nan, nan, nan, nan, nan, nan, nan];
279;Salado;Grattan 2004;greenhouse, sand tanks;2.0;dry weight (kg ha-1 d-1);2000;Alfalfa;[15.0, 25.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 53.1887755102041, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];
280;SW 9720;Grattan 2004;greenhouse, sand tanks;2.0;dry weight (kg ha-1 d-1);2000;Alfalfa;[15.0, 25.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 52.0174482006543, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];
281;Bami;Mohammadi 2008;pot, greenhouse;3.0;dry weight (mg/plant);2007;Alfalfa;[1.2, 7.0, 12.0, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 70.8133971291866, 50.7177033492823, nan, nan, nan, nan, nan, nan, nan, nan, nan];
282;Hamadani;Mohammadi 2008;pot, greenhouse;3.0;dry weight (mg/plant);2007;Alfalfa;[1.2, 7.0, 12.0, nan, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 68.9024390243902, 46.3414634146341, nan, nan, nan, nan, nan, nan, nan, nan, nan];
283;Gongnong No. 1;Peng 2008;plastic pot, outdoor but kept out of rain;6.0;Total biomass (g/plant);2005;Alfalfa;[0.0, 2.1915, 4.383, 6.5745, 8.766, 10.9575, nan, nan, nan, nan, nan, nan];[100.0, 80.952380952381, 78.5714285714286, 71.4285714285714, 69.0476190476191, 23.8095238095238, nan, nan, nan, nan, nan, nan];
284;Zhongmu1;Wang and Han 2009;plastic vessel, growth-chamber;4.0;dry weight (g/plant);2008;Alfalfa;[0.0, 6.391875, 12.78375, 19.175625, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 65.2014652014652, 51.2820512820513, 31.8681318681319, nan, nan, nan, nan, nan, nan, nan, nan];
285;Defi;Wang and Han 2010;plastic vessel, growth-chamber;4.0;dry weight (g/plant);2008;Alfalfa;[0.0, 6.391875, 12.78375, 19.175625, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 61.5671641791045, 49.6268656716418, 30.5970149253731, nan, nan, nan, nan, nan, nan, nan, nan];
286;Avrg. 12 Cultivars;Alhammadi and Edward (2009);greenhouse, 1 gallon plastic pot;4.0;dry biomass shoot (mg);2006.0;Date_palm;[0.515625, 4.6875, 9.375, 18.75, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 100.0, 86.6666666666667, 66.6666666666667, nan, nan, nan, nan, nan, nan, nan, nan];
287;Avrg. 12 Cultivars;Alhammadi and Edward (2009);greenhouse, 1 gallon plastic pot;4.0;dry biomass root (mg);2006.0;Date_palm;[0.515625, 4.6875, 9.375, 18.75, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 96.2962962962963, 83.3333333333333, 66.6666666666667, nan, nan, nan, nan, nan, nan, nan, nan];
288;Samani;El-Sharabasy et al. (2008);in vitro;4.0;shoot length (cm);2005.0;Date_palm;[0.0, 6.25, 12.5, 18.75, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 128.491620111732, 91.8994413407821, 82.9608938547486, nan, nan, nan, nan, nan, nan, nan, nan];
289;Sewy;El-Sharabasy et al. (2008);in vitro;4.0;shoot length (cm);2006.0;Date_palm;[0.0, 6.25, 12.5, 18.75, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 159.0625, 100.9375, 86.875, nan, nan, nan, nan, nan, nan, nan, nan];
290;Bartamuda;El-Sharabasy et al. (2008);in vitro;4.0;shoot length (cm);2007.0;Date_palm;[0.0, 6.25, 12.5, 18.75, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 162.108262108262, 135.897435897436, 101.709401709402, nan, nan, nan, nan, nan, nan, nan, nan];
291;Khalas;Al-Abdoulhadi et al. (2011);30l pot;5.0;stem;;Date_palm;[0.0, 4.565625, 9.13125, 18.2625, 36.525, nan, nan, nan, nan, nan, nan, nan];[100.0, 86.2068965517241, 79.3103448275862, 60.3448275862069, 43.1034482758621, nan, nan, nan, nan, nan, nan, nan];
292;Madjool;Al-Abdoulhadi et al. (2011);30l pot;5.0;stem;;Date_palm;[0.0, 4.565625, 9.13125, 18.2625, 36.525, nan, nan, nan, nan, nan, nan, nan];[100.0, 94.9367088607595, 92.4050632911392, 34.1772151898734, 25.3164556962025, nan, nan, nan, nan, nan, nan, nan];
293;Barhi;Al-Abdoulhadi et al. (2011);30l pot;5.0;stem;;Date_palm;[0.0, 4.565625, 9.13125, 18.2625, 36.525, nan, nan, nan, nan, nan, nan, nan];[100.0, 125.925925925926, 64.8148148148148, 33.3333333333333, 14.8148148148148, nan, nan, nan, nan, nan, nan, nan];
294;Khalas;Al-Abdoulhadi et al. (2011);30l pot;5.0;root;;Date_palm;[0.0, 4.565625, 9.13125, 18.2625, 36.525, nan, nan, nan, nan, nan, nan, nan];[100.0, 92.3076923076923, 69.2307692307692, 61.5384615384615, 50.0, nan, nan, nan, nan, nan, nan, nan];
295;Madjool;Al-Abdoulhadi et al. (2011);30l pot;5.0;root;;Date_palm;[0.0, 4.565625, 9.13125, 18.2625, 36.525, nan, nan, nan, nan, nan, nan, nan];[100.0, 92.8571428571429, 83.3333333333333, 50.0, 33.3333333333333, nan, nan, nan, nan, nan, nan, nan];
296;Barhi;Al-Abdoulhadi et al. (2011);30l pot;5.0;root;;Date_palm;[0.0, 4.565625, 9.13125, 18.2625, 36.525, nan, nan, nan, nan, nan, nan, nan];[100.0, 71.4285714285714, 57.1428571428571, 42.8571428571429, 28.5714285714286, nan, nan, nan, nan, nan, nan, nan];
297;Medjool;Sperling et al. (2014);greenhouse, 10L pot;4.0;dry weight (g);2011.0;Date_palm;[0.182625, 2.739375, 6.8484375, 9.5878125, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 76.7676767676768, 74.7474747474748, 60.6060606060606, nan, nan, nan, nan, nan, nan, nan, nan];
298;Nakhla hamra;Djibril et al. (2005);lab experiment;4.0;weight of fresh roots (mg);2004.0;Date_palm;[0.0, 6.25, 12.5, 25.0, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 92.018779342723, 89.906103286385, 73.7089201877934, nan, nan, nan, nan, nan, nan, nan, nan];
299;Tijib;Djibril et al. (2005);lab experiment;4.0;weight of fresh roots (mg);2004.0;Date_palm;[0.0, 6.25, 12.5, 25.0, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 184.832451499118, 213.05114638448, 50.7936507936508, nan, nan, nan, nan, nan, nan, nan, nan];
