,EC_90_linremmax,EC_90_linremmin,EC_90_linremmean,EC_90_modremmax,EC_90_modremmin,EC_90_modremmean,EC_90_fao
alfalfa,2.658296704180806,1.156965943350354,1.9970523108314828,6.030021376920649,2.633430343190577,4.290720089970554,3.36
corn,13.404187465646427,2.4719905493055307,6.353831362599233,11.207264262099633,5.230260881614054,8.623997792022706,2.54
cucumber,1.865605201272257,0.4090924753069114,0.6510086431808324,2.0209279902164465,0.7899029569267442,1.2262272525312734,2.7
date_palm,9.508406689749867,2.796485942839517,5.766959964995043,12.342629281191034,6.208553096940992,8.330023506622775,6.8
potato,8.41954963270196,0.4735999999086724,1.7051173078826025,6.777583416959051,0.736447099181302,1.8405758550343876,2.54
sorghum,11.698664597964113,1.2401389264631641,4.432439958735732,14.219198680634287,2.691048976625885,5.293001672590353,7.42
tomato,5.42142857132558,0.9298928443825344,3.1203688400131417,5.703404991495768,1.9670691508984195,3.6174652921539434,2.88
wheat,6.391800791258241,0.9882220885221128,2.317224895221074,5.412108659628366,1.5126198708759746,3.8247262043703953,7.4
