,EC_50_linremmax,EC_50_linremmin,EC_50_linremmean,EC_50_modremmax,EC_50_modremmin,EC_50_modremmean,EC_50_fao
alfalfa,13.291483520904036,5.78482971675167,9.985261554075427,12.542949918789807,5.477755856004744,8.925057448391557,8.8
corn,25.342596398131533,12.359952746217699,18.705602112333516,23.312049092261173,10.879381050186584,17.938638297221768,5.9
cucumber,4.378540568036817,2.0454623765305926,2.854340784587593,4.203699620002027,1.6430643624841852,2.550655471375683,6.3
date_palm,29.00585013920301,13.982429713819744,19.02406012958247,25.673703501732213,12.914310861505756,17.327147141768126,18.0
potato,13.092601103302426,1.9174015029430282,3.994777639716777,14.097941625001367,1.5318716975405269,3.8285520611569552,5.9
sorghum,31.442668705362976,6.200694627946889,11.78321879628138,29.577125152348355,5.597607443319883,11.009887154541863,9.9
tomato,12.789230831870027,4.233852723902439,7.637754298938959,11.863560459123823,4.091668719608246,7.524631034661146,7.6
wheat,12.010690930601369,4.941110442412692,9.25533936208794,11.257639671492086,3.146376123835973,7.95575110531357,13.0
